term_en,term_zh,type,source,confidence,status,decided_at,notes
Influence,影响,concept,cs-aligned,1.0,approved,2026-08-11,cs:elements|influence
Nina Lagasse,尼娜·拉加斯,character,user,1.0,approved,2026-08-11,用户裁决保留我方定译(2026-08-11)
Antibes,昂蒂布,location,site-hit,0.7,pending,2026-08-11,音译(法国城市通行译名) 待G4审核
Spencer,斯宾塞,character,site-hit,0.95,approved,2026-08-11,site bilingual label[1]
Vincent,文森特,character,site-hit,0.7,pending,2026-08-11,"音译(法语 Vincent 读 /vɛ̃sɑ̃/,通行译名) 待G4审核"
Ingredient,原料,concept,cs-aligned,1.0,approved,2026-08-11,cs:elements|ingredient
Passion,激情,concept,cs-aligned,1.0,approved,2026-08-11,cs:elements|passion
Nina,尼娜,character,user,1.0,approved,2026-08-11,用户裁决保留我方定译
Aubière,奥比埃,character,site-miss,0.7,approved,2026-08-12,用户裁决 2026-08-12:统一译奥比埃(法语 /objɛʁ/);废弃欧比耶尔
Dread,恐惧,concept,cs-aligned,1.0,approved,2026-08-11,cs:elements|predread
Philomèle,菲洛梅尔,character,site-miss,0.7,pending,2026-08-11,"音译(法语 Philomèle /filɔmɛl/,Philomèle=菲洛梅尔(夜莺典故)) 待G4审核"
Pain,痛苦,concept,site-hit,0.7,pending,2026-08-11,"音译(CS 风格:Pain 在 CS 中为元素,官方译法待查;按风格直译痛苦) 待G4审核"
Fascination,入迷,concept,cs-aligned,1.0,approved,2026-08-11,cs:elements|prefascination
Opinion,看法,concept,site-hit,0.7,pending,2026-08-11,"音译(直译,风格贴合) 待G4审核"
Weariness,倦怠,concept,site-miss,0.7,pending,2026-08-11,音译(CS 氛围词(倦怠感)) 待G4审核
OutfitSelect,行头选择,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法行头选择 vs 原outfitselect,按规则4采用 | 规则直译(普通词) 待G4审核"
Hobson,霍布森,character,site-hit,0.7,pending,2026-08-11,"音译(英语姓氏 Hobson,通行音译) 待G4审核"
Linou,莉努,character,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法莉努 vs 原利努,按规则3采用(女性用字更优) | 音译(法语 Linou /linu/,Lin=利+Nou=努) 待G4审核"
Brancrug,布兰库格,location,manual_pkg,0.9,approved,2026-08-11,L2 穿过[[布兰库格]];覆盖旧音译布兰克鲁格
Sanitarium,疗养院,location,site-miss,0.7,pending,2026-08-11,音译(CS 先例(疗养院得到回报);样本线首现括注 The Sanitarium) 待G4审核
Mimata,米玛塔,location,user,1.0,approved,2026-08-11,用户裁决保留我方定译
Memory,回忆,concept,cs-aligned,1.0,approved,2026-08-11,cs:elements|memory
Crafting,制作,concept,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法制作 vs 原炼制,按规则4采用(普通词常规译法(批12曾作炼制)) | 音译(CS 风格(炼制/合成,与 CS 官方 recipe 语境贴合)) 待G4审核"
Who,是谁,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法是谁 vs 原who,按规则4采用 | 规则直译(普通词) 待G4审核"
Incorporate,集团,concept,manual_pkg,0.9,approved,2026-08-11,L2 [[集团]](为[[邦国]]赢得[[集团]]的承认)
Aristide,阿里斯蒂德,character,self,0.8,pending,2026-08-12,音译(法语名)待G4
Mansus,漫宿,location,cs-official,1.0,approved,2026-08-11,"L2 采纳:CS 官方定译(漫宿),覆盖原音译曼殊斯"
For,为了,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法为了,按规则4采用 | 规则直译(普通词) 待G4审核"
Unset,未设置,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法未设置 vs 原unset,按规则4采用 | 规则直译(普通词) 待G4审核"
Church,教会,concept,manual_pkg,0.9,approved,2026-08-11,L2 无敌太阳教会/教会与职司;覆盖普通词直译
Back,返回,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法返回,按规则4采用 | 规则直译(普通词) 待G4审核"
Sinombre,西诺姆布尔,character,site-miss,0.7,pending,2026-08-12,"音译(西班牙语 sinombre(无名者),si-≈西+n-ombre≈诺姆布尔);LLM提示canon作西农布尔,本地cs-aligned/paratranz/KB均无证据,不采纳"
Dr Aubière,奥比埃医生,character,self,0.8,approved,2026-08-12,用户裁决 2026-08-12:Aubière→奥比埃+Dr→医生
Skill,技艺,concept,site-hit,0.95,approved,2026-08-11,site bilingual label[1]
Rosa Mundi,罗莎·蒙迪,other,user,1.0,approved,2026-08-11,用户裁决保留我方定译(间隔号规范)
Paris,巴黎,location,cs-aligned,1.0,approved,2026-08-11,cs:elements|domicile.paris
Leopold,利奥波德,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法利奥波德 vs 原leopold,按规则3采用(通行译名(比利时国王)) | 规则直译(普通词) 待G4审核"
Thank,谢谢,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法谢谢,按规则4采用 | 规则直译(普通词) 待G4审核"
Aspect Pool,性相池,concept,manual_pkg,0.95,approved,2026-08-11,L2 你的印记与激情将填充性相池
Zèlia,泽莉亚,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则3定译泽莉亚 | 规则未覆盖,待人工裁决"
Something,某事,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法某事,按规则4采用 | 规则直译(普通词) 待G4审核"
Spencer Hobson,斯宾塞·霍布森,character,cs-aligned,1.0,approved,2026-08-11,cs:elements|investigator2
Nothing,无事,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法无事,按规则4采用 | 规则直译(普通词) 待G4审核"
Bessy,贝茜,character,site-miss,0.7,pending,2026-08-11,音译(英语 Bessy 通行音译) 待G4审核
If I,如果我,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法如果我,按规则4采用 | 规则未覆盖,待人工裁决"
Nod,点头,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法点头,按规则4采用 | 规则直译(普通词) 待G4审核"
Good,好,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法好,按规则4采用 | 规则直译(普通词) 待G4审核"
Very,非常,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法非常,按规则4采用(批10 Very 前缀→非常) | 规则直译(普通词) 待G4审核"
Hush House,噤声居屋,location,cs-official,1.0,approved,2026-08-11,L2 候选采纳:CS 官方定译(噤声居屋)
Europe,欧洲,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法欧洲 vs 原europe,按规则4采用 | 规则直译(普通词) 待G4审核"
Never,从不,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法从不,按规则4采用 | 规则直译(普通词) 待G4审核"
Mathis,马蒂斯,character,site-miss,0.7,pending,2026-08-11,音译(法语 Mathis≈马蒂斯) 待G4审核
Ministries,联盟,concept,user,1.0,approved,2026-08-11,"用户拍板采纳对方译法(报告曾标疑似误译,以用户为准)"
Wait,wait,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Come,来,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法来,按规则4采用 | 规则直译(普通词) 待G4审核"
Recall,回忆,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法回忆 vs 原recall,按规则4采用(link 句式用追忆) | 规则直译(普通词) 待G4审核"
Enemy,敌人,concept,cs-aligned,0.9,approved,2026-08-11,cs-aligned 凶杀的计策(对其敌人下手)
Spend,消耗,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法消耗 vs 原spend,按规则4采用 | 规则直译(普通词) 待G4审核"
Use,使用,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法使用 vs 原use,按规则4采用 | 规则直译(普通词) 待G4审核"
My Past,我的过去,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则4定译我的过去 | 规则未覆盖,待人工裁决"
Subvert,拗转,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法拗转 vs 原subvert,按规则2采用(性相转化机制动词) | 规则直译(普通词) 待G4审核"
Like,like,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Jean-Bernard,让-贝尔纳,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则3定译让-贝尔纳 | 规则未覆盖,待人工裁决"
Alexandria,亚历山大港,other,cs-aligned,1.0,approved,2026-08-11,cs:elements|domicile.alexandria
Strathcoyne,斯特拉斯科因,character,site-hit,0.7,pending,2026-08-11,"音译(苏格兰地名 Strathcoyne,Strath≈斯特拉斯+coyne≈科因) 待G4审核"
Skills,技艺,concept,manual_pkg,0.9,approved,2026-08-11,与 Skill=技艺 一致
Légion,,other,site-hit,0.3,pending,2026-08-11,"规则未覆盖,待人工裁决"
Let,let,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Republic,共和国,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法共和国 vs 原republic,按规则4采用 | 规则直译(普通词) 待G4审核"
Andrée,安德烈,character,site-miss,0.7,pending,2026-08-11,音译(法语 Andrée /ɑ̃dʁe/≈安德烈) 待G4审核
Smile,微笑,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法微笑,按规则4采用 | 规则直译(普通词) 待G4审核"
Wars,战争,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法战争,按规则4采用 | 规则直译(普通词) 待G4审核"
Rodia,罗迪娅,character,site-hit,0.7,pending,2026-08-11,音译(拉丁/意语 Rodia≈罗迪娅) 待G4审核
Uncounted,除名,concept,manual_pkg,0.9,approved,2026-08-11,L2 除名司辰/司辰们已被除名
Experiences,经验,concept,manual_pkg,0.95,approved,2026-08-11,L2 +1 [性相] 经验/经验(技能升级点数)
Truth,真理,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法真理,按规则4采用 | 规则直译(普通词) 待G4审核"
War,战争,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法战争,按规则4采用 | 规则直译(普通词) 待G4审核"
Worms,蠕虫,concept,wiki,0.9,approved,2026-08-11,boh.huijiwiki.com/wiki/伟大之术 蠕虫学(研习蠕虫);L2 同
Léon,莱昂,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则3定译莱昂 | 规则未覆盖,待人工裁决"
Outfit,outfit,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Forge,铸,other,cs-aligned,1.0,approved,2026-08-11,cs:elements|forge
Winter,冬,other,cs-aligned,1.0,approved,2026-08-11,cs:recipes|ritehinthaswinter
Moth,蛾,other,cs-aligned,1.0,approved,2026-08-11,cs:elements|moth
When I,当我,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法当我,按规则4采用 | 规则未覆盖,待人工裁决"
Light,光源,other,site,0.95,approved,2026-08-11,site bilingual label[1] (verified)
Lantern,灯,other,cs-aligned,1.0,approved,2026-08-11,cs:elements|lantern
Trouble,烦扰,concept,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法烦扰,按规则4采用 | 音译(CS 元素 trouble 官方语境,风格贴合) 待G4审核"
Select,选择,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法选择 vs 原select,按规则4采用 | 规则直译(普通词) 待G4审核"
Stag Door,牡鹿之门,location,manual_pkg,0.95,approved,2026-08-11,L2 牡鹿之门乃学徒之门
Aspects,性相,concept,manual_pkg,0.9,approved,2026-08-11,L2 性相池/[性相];与 Aspect 单数一致
Travelling,旅行,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法旅行 vs 原travelling,按规则4采用 | 规则直译(普通词) 待G4审核"
Did,did,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Milice,milice,other,site-miss,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Bureau,防剿局,organization,user,1.0,approved,2026-08-11,用户裁决:一般特指防剿局(与 Suppression Bureau 同义);语境合适时可视情况简称为局里
Examine,检查,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法检查 vs 原examine,按规则4采用 | 规则直译(普通词) 待G4审核"
Jaume,豪梅,character,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法豪梅 vs 原若梅,按规则3采用(加泰罗尼亚语通行译名) | 音译(加泰罗尼亚语 Jaume≈若梅) 待G4审核"
Lagasse,拉加斯,other,site-hit,0.7,pending,2026-08-11,音译(法-加裔姓氏) 待G4审核
Although,虽然,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法虽然,按规则4采用 | 规则直译(普通词) 待G4审核"
Doctor,医生,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法医生 vs 原doctor,按规则4采用(与 Dr 头衔规则一致) | 规则直译(普通词) 待G4审核"
