entry_id,source_text(原文),translation_zh(译文)
dialogue|101|1|Dialogue Text,A sheaf of papers detailing a sacred scenario of the <i>commedia della Sole</i>.,"一叠纸页,详述着<i>太阳喜剧</i>的一出神圣剧目。"
dialogue|101|2|Dialogue Text,[Read],[阅读]
dialogue|101|3|Dialogue Text,"FNORD later we might add choices,FNORD 日后我们或许会添加选项,甚至在首次阅读时带来噩梦。
dialogue|101|4|Dialogue Text,[Reread],[重读]
dialogue|101|5|Dialogue Text,FNORD revisit the outline.,FNORD 回头再看大纲。
dialogue|10|100|Dialogue Text,You are mortal. And ignorant. Nothing you say can approach what a Lantern-long feels.,"你是凡人。而且无知。你说的一切,都无从触及灯之长生者的感受。"
dialogue|10|101|Dialogue Text,We have made our arrangement. I'll keep to my word.,我们已定下约定。我会信守承诺。
dialogue|10|102|Dialogue Text,A pity the [[Mansus]] is barred to us both. We could walk in the Orchard of Lights... but the War in the Sun has denied us that joy. We must take what we can from what's left.,"可惜,[[漫宿]]对我们俩,双双紧闭。我们本可在辉光果园中漫步……但太阳之战,夺走了这份欢愉。我们只能从余下的残迹中,取用所能取的一切。"
dialogue|10|103|Dialogue Text,A pity the [[Mansus]] is barred to us both. I would like to speak more with your heart. It is rare to share [[History]] with one of your kind. But we'll have to make do with what's left.,"可惜,[[漫宿]]对我们俩,双双紧闭。我很想与你的心,再多谈谈。与你这般的人共享[[历史]],实属罕事。但我们只能将就,以余下的残迹度日。"
dialogue|10|104|Dialogue Text,I have what I needed from the doctor - I found it in his dream.,我已从医生那里得到了所需之物——我在他的梦里找到了它。
dialogue|10|105|Dialogue Text,It is good when we open the vaults of the soul. It is good when a secret's revealed.,"当我们打开灵魂的宝库,是好的。当一个秘密被揭示,是好的。"
dialogue|10|106|Dialogue Text,What was Nina doing here?,尼娜在这里做什么?
dialogue|10|107|Dialogue Text,"The witch followed another, as you follow her - an old woman of Raveline blood. I concerned myself not with her beast-taint and curse. But your Nina sought something from her.","那女巫追随着另一个人,正如你追随着她——一位拉韦林血统的老妇人。她的兽污与诅咒,我不曾理会。但你的尼娜,想从她那里得到什么。"
dialogue|10|108|Dialogue Text,My heart thumps uncomfortably. Jealousy? Apprehension? Difficult to be sure.,"我的心,不安地擂动。嫉妒?忧惧?说不准。"
dialogue|10|109|Dialogue Text,"Earlier, you wanted me to look into the scrine. So you could know me, wasn't it? I offer you that.","方才,你想让我望向圣龛。好让你识得我,不是吗?如今,我成全你。"
dialogue|10|10|Dialogue Text,What do you mean? That it isn't the twentieth century everywhere?,你什么意思?难道不是处处都在二十世纪?
dialogue|10|110|Dialogue Text,"You are friendlier now that Sinombre can help? Well, let's call it a change of the heart.","西诺姆布尔能帮上忙了,你就热络起来?唔,就当这是一次心的转变吧。"
dialogue|10|111|Dialogue Text,"[Approach, and look into the scrine.]","[走上前,望向圣龛。]"
dialogue|10|112|Dialogue Text,"Now just let your thoughts wander, now open your eyes. It's so bright, is it not? It's so clear.","现在,只管让你的思绪漫游,现在睁开眼睛。多么明亮,不是吗?多么清澈。"
dialogue|10|114|Dialogue Text,"Who is hollow of spirit and brazen of heart? Who has come here through iron and salt? I know you and name you, Lieutenant S.H. And I'll help you with Aubière's dream.","谁灵魂空洞,谁心肠厚颜?谁穿过铁与盐,来到这里?我认得你,也唤出你的名字,中尉 S.H.。而我,会助你进入奥比埃的梦。"
dialogue|10|115|Dialogue Text,"Use Bosk to brew something that will let me walk in his dreams? That's a good idea, actually.","用丛林学炼制出某种东西,让我得以走进他的梦?这主意,其实不坏。"
dialogue|10|116|Dialogue Text,"Use Ithastry to brew something that will let me walk in his dreams? That's a good idea, actually.","用盗火术炼制出某种东西,让我得以走进他的梦?这主意,其实不坏。"
dialogue|10|117|Dialogue Text,[Leave the matter for now.],[此事暂且放下。]
dialogue|10|119|Dialogue Text,[Shrug] Perhaps.,[耸肩] 也许吧。
dialogue|10|11|Dialogue Text,What do you mean? That it isn't the twentieth century where you're standing?,"你什么意思?难道你站着的地方,不在二十世纪?"
dialogue|10|12|Dialogue Text,Stop it. Or I'll leave you here in the dark.,"住口。不然,我就把你留在这黑暗里。"
dialogue|10|1|Dialogue Text,"Who has come to Sinombre? Whose heart and whose name? Come closer, my dear. Let me see.","是谁来到了西诺姆布尔面前?谁的心,谁的名字?走近些,亲爱的。让我看看。"
dialogue|10|23|Dialogue Text,"You are wise to be wary, my guttering light. But Sinombre is not what she was. Come closer, come closer, look into the scrine... and Sinombre will give you her light.","你懂得提防,是明智的,我这将熄的光。但西诺姆布尔,已不是昔日的她。走近些,再走近些,望向圣龛……西诺姆布尔会把她的光给你。"
dialogue|10|24|Dialogue Text,"You've returned to Sinombre, Lieutenant S.H. And Sinombre is ready to speak.","你回到了西诺姆布尔面前,中尉 S.H.。而西诺姆布尔,已准备好开口。"
dialogue|10|25|Dialogue Text,"Come, cautious petitioner, Sinombre awaits. Let's hear what you bring me today.","来吧,谨慎的请愿者,西诺姆布尔在等着。让我听听,你今天带来了什么。"
